block,trial_number,auditory_stimulus,left_image,right_image,target_label,center_video,target_side,correct_response,playing_side,background,trial_type
1,1,Teacher_intro_pos,,,,Teacher_intro_pos_vo,,,center,,T
1,2,silence,,,,,,,center,Teacher,T
1,3,Student_intro_pos,,,,Student_intro_pos_vo,,,center,,T
1,4,silence,,,,,,,center,Table,T
1,5,Peer_conversation_pos_right,,,,Peer_conversation_pos_right_vo,,,center,,T
1,6,silence,,,,,,,center,Box,T
1,7,Labeling_crayon,,,,Labeling_crayon_vo,,,center,,T
2,8,silence,,,,,,,center,Crayon,T
2,9,Labeling_gluestick,,,,Labeling_gluestick_vo,,,center,,T
2,10,silence,,,,,,,center,Gluestick,T
2,11,Labeling_novel,,,,Labeling_novel_vo,,,center,,T
2,12,Labeling_paintbrush,,,,Labeling_paintbrush_vo,,,center,,T
2,13,silence,,,,,,,center,Paintbrush,T
2,14,Labeling_scissors,,,,Labeling_scissors_vo,,,center,,T
3,15,silence,,,,,,,center,Scissors,T
3,16,Labeling_novel,,,,Labeling_novel_vo,,,center,,T
3,17,End,,,,End_vo,,,center,,T
3,18,Fiffin_audio,Fiffin,Koba,Fiffin,,Left,0,,rug_background,LWL
3,19,Shill_audio,Manu,Shill,Shill,,Right,1,,rug_background,LWL
4,20,Koba_audio,Koba,Fiffin,Koba,,Left,0,,rug_background,LWL
4,21,Shill_audio,Shill,Manu,Shill,,Left,0,,rug_background,LWL
4,22,Fiffin_audio,Koba,Fiffin,Fiffin,,Right,1,,rug_background,LWL
4,23,Manu_audio,Manu,Shill,Shill,,Right,1,,rug_background,LWL
4,24,Fiffin_audio,Fiffin,Koba,Fiffin,,Left,0,,rug_background,LWL
5,25,Shill_audio,Manu,Shill,Manu,,Left,0,,rug_background,LWL
5,26,Koba_audio,Fiffin,Koba,Koba,,Right,1,,rug_background,LWL
5,27,Manu_audio,Manu,Shill,Manu,,Left,0,,rug_background,LWL
5,28,Koba_audio,Koba,Fiffin,Koba,,Left,0,,rug_background,LWL
5,29,Shill_audio,Shill,Manu,Shill,,Left,0,,rug_background,LWL
5,30,Koba_audio,Fiffin,Koba,Koba,,Right,1,,rug_background,LWL
5,31,Manu_audio,Manu,Shill,Manu,,Left,0,,rug_background,LWL
5,32,Fiffin_audio,Koba,Fiffin,Fiffin,,Right,1,,rug_background,LWL
5,33,Manu_audio,Shill,Manu,Manu,,Right,1,,rug_background,LWL
